t,setpoint,omega,u
0.1980,200.0000,200.8189,6.3957
0.1990,200.0000,200.8174,6.3955
0.2000,200.0000,200.8159,6.3954
0.2010,200.0000,200.8143,6.3953
0.2020,200.0000,200.8128,6.3952
0.2030,200.0000,200.8113,6.3951
0.2040,200.0000,200.8098,6.3950
0.2050,200.0000,200.8077,6.3949
0.2060,200.0000,200.8061,6.3954
0.2070,200.0000,200.8046,6.3953
0.2080,200.0000,200.8031,6.3952
0.2090,200.0000,200.8016,6.3952
0.2100,200.0000,200.8000,6.3951
0.2110,200.0000,200.7985,6.3950
0.2120,200.0000,200.7970,6.3949
0.2130,200.0000,200.7955,6.3949
0.2140,200.0000,200.7939,6.3948
0.2150,200.0000,200.7924,6.3947
0.2160,200.0000,200.7909,6.3947
0.2170,200.0000,200.7894,6.3946
0.2180,200.0000,200.7878,6.3946
0.2190,200.0000,200.7863,6.3945
0.2200,200.0000,200.7848,6.3945
0.2210,200.0000,200.7832,6.3944
0.2220,200.0000,200.7817,6.3944
0.2230,200.0000,200.7802,6.3944
0.2240,200.0000,200.7787,6.3943
0.2250,200.0000,200.7771,6.3943
0.2260,200.0000,200.7756,6.3943
0.2270,200.0000,200.7741,6.3942
0.2280,200.0000,200.7726,6.3942
0.2290,200.0000,200.7710,6.3942
0.2300,200.0000,200.7695,6.3942
0.2310,200.0000,200.7680,6.3942
0.2320,200.0000,200.7665,6.3942
0.2330,200.0000,200.7649,6.3941
0.2340,200.0000,200.7634,6.3941
0.2350,200.0000,200.7619,6.3941
0.2360,200.0000,200.7604,6.3941
0.2370,200.0000,200.7588,6.3942
0.2380,200.0000,200.7573,6.3942
0.2390,200.0000,200.7558,6.3942
0.2400,200.0000,200.7543,6.3942
0.2410,200.0000,200.7527,6.3942
0.2420,200.0000,200.7512,6.3942
0.2430,200.0000,200.7497,6.3942
0.2440,200.0000,200.7482,6.3943
0.2450,200.0000,200.7466,6.3943
0.2460,200.0000,200.7457,6.3943
0.2470,200.0000,200.7442,6.3937
0.2480,200.0000,200.7427,6.3937
0.2490,200.0000,200.7412,6.3938
0.2500,200.0000,200.7397,6.3938
0.2510,200.0000,200.7381,6.3939
0.2520,200.0000,200.7366,6.3939
0.2530,200.0000,200.7352,6.3940
0.2540,200.0000,200.7344,6.3939
0.2550,200.0000,200.7328,6.3933
0.2560,200.0000,200.7313,6.3933
0.2570,200.0000,200.7298,6.3934
0.2580,200.0000,200.7283,6.3935
0.2590,200.0000,200.7267,6.3935
0.2600,200.0000,200.7252,6.3936
0.2610,200.0000,200.7243,6.3937
0.2620,200.0000,200.7228,6.3932
0.2630,200.0000,200.7213,6.3932
0.2640,200.0000,200.7198,6.3933
0.2650,200.0000,200.7182,6.3934
0.2660,200.0000,200.7172,6.3935
0.2670,200.0000,200.7158,6.3930
0.2680,200.0000,200.7143,6.3930
0.2690,200.0000,200.7127,6.3931
0.2700,200.0000,200.7114,6.3932
0.2710,200.0000,200.7101,6.3931
0.2720,200.0000,200.7086,6.3930
0.2730,200.0000,200.7076,6.3931
0.2740,200.0000,200.7061,6.3927
0.2750,200.0000,200.7046,6.3927
0.2760,200.0000,200.7031,6.3928
0.2770,200.0000,200.7020,6.3930
0.2780,200.0000,200.7006,6.3926
0.2790,200.0000,200.6991,6.3927
0.2800,200.0000,200.6977,6.3928
0.2810,200.0000,200.6970,6.3927
0.2820,200.0000,200.6955,6.3921
0.2830,200.0000,200.6939,6.3922
0.2840,200.0000,200.6924,6.3924
0.2850,200.0000,200.6909,6.3925
0.2860,200.0000,200.6900,6.3926
0.2870,200.0000,200.6886,6.3922
0.2880,200.0000,200.6870,6.3922
0.2890,200.0000,200.6855,6.3924
0.2900,200.0000,200.6847,6.3925
0.2910,200.0000,200.6833,6.3920
0.2920,200.0000,200.6818,6.3920
0.2930,200.0000,200.6803,6.3921
0.2940,200.0000,200.6793,6.3923
0.2950,200.0000,200.6779,6.3919
0.2960,200.0000,200.6764,6.3919
0.2970,200.0000,200.6752,6.3921
0.2980,200.0000,200.6739,6.3920
0.2990,200.0000,200.6724,6.3919
0.3000,200.0000,200.6715,6.3921
0.3010,200.0000,200.6701,6.3916
0.3020,200.0000,200.6686,6.3916
0.3030,200.0000,200.6672,6.3918
0.3040,200.0000,200.6664,6.3919
0.3050,200.0000,200.6650,6.3913
0.3060,200.0000,200.6635,6.3914
0.3070,200.0000,200.6620,6.3916
0.3080,200.0000,200.6611,6.3918
0.3090,200.0000,200.6599,6.3913
0.3100,200.0000,200.6583,6.3913
0.3110,200.0000,200.6569,6.3915
0.3120,200.0000,200.6562,6.3916
0.3130,200.0000,200.6548,6.3910
0.3140,200.0000,200.6532,6.3911
0.3150,200.0000,200.6518,6.3913
0.3160,200.0000,200.6511,6.3915
0.3170,200.0000,200.6497,6.3909
0.3180,200.0000,200.6482,6.3910
0.3190,200.0000,200.6469,6.3912
0.3200,200.0000,200.6461,6.3912
0.3210,200.0000,200.6447,6.3907
0.3220,200.0000,200.6432,6.3908
0.3230,200.0000,200.6419,6.3911
0.3240,200.0000,200.6412,6.3910
0.3250,200.0000,200.6397,6.3905
0.3260,200.0000,200.6382,6.3907
0.3270,200.0000,200.6370,6.3909
0.3280,200.0000,200.6362,6.3908
0.3290,200.0000,200.6348,6.3903
0.3300,200.0000,200.6332,6.3905
0.3310,200.0000,200.6321,6.3908
0.3320,200.0000,200.6313,6.3907
0.3330,200.0000,200.6298,6.3902
0.3340,200.0000,200.6283,6.3904
0.3350,200.0000,200.6272,6.3907
0.3360,200.0000,200.6265,6.3905
0.3370,200.0000,200.6250,6.3900
0.3380,200.0000,200.6234,6.3902
0.3390,200.0000,200.6224,6.3905
0.3400,200.0000,200.6216,6.3903
0.3410,200.0000,200.6201,6.3898
0.3420,200.0000,200.6186,6.3901
0.3430,200.0000,200.6176,6.3904
0.3440,200.0000,200.6169,6.3902
0.3450,200.0000,200.6153,6.3897
0.3460,200.0000,200.6138,6.3900
0.3470,200.0000,200.6128,6.3903
0.3480,200.0000,200.6121,6.3900
0.3490,200.0000,200.6106,6.3895
0.3500,200.0000,200.6090,6.3898
0.3510,200.0000,200.6081,6.3901
0.3520,200.0000,200.6073,6.3899
0.3530,200.0000,200.6059,6.3894
0.3540,200.0000,200.6043,6.3897
0.3550,200.0000,200.6034,6.3900
0.3560,200.0000,200.6026,6.3897
0.3570,200.0000,200.6012,6.3893
0.3580,200.0000,200.5996,6.3896
0.3590,200.0000,200.5988,6.3899
0.3600,200.0000,200.5980,6.3896
0.3610,200.0000,200.5965,6.3891
0.3620,200.0000,200.5950,6.3894
0.3630,200.0000,200.5941,6.3898
0.3640,200.0000,200.5934,6.3894
