t,setpoint,omega,u
0.4450,200.0000,200.1044,6.3740
0.4460,200.0000,200.1031,6.3736
0.4470,200.0000,200.1022,6.3742
0.4480,200.0000,200.1014,6.3738
0.4490,200.0000,200.1001,6.3735
0.4500,200.0000,200.0992,6.3741
0.4510,200.0000,200.0985,6.3738
0.4520,200.0000,200.0973,6.3735
0.4530,200.0000,200.0964,6.3740
0.4540,200.0000,200.0957,6.3737
0.4550,200.0000,200.0944,6.3734
0.4560,200.0000,200.0936,6.3740
0.4570,200.0000,200.0928,6.3737
0.4580,200.0000,200.0921,6.3735
0.4590,200.0000,200.0906,6.3733
0.4600,200.0000,200.0898,6.3742
0.4610,200.0000,200.0891,6.3738
0.4620,200.0000,200.0883,6.3736
0.4630,200.0000,200.0875,6.3735
0.4640,200.0000,200.0868,6.3734
0.4650,200.0000,200.0860,6.3733
0.4660,200.0000,200.0846,6.3732
0.4670,200.0000,200.0838,6.3740
0.4680,200.0000,200.0831,6.3737
0.4690,200.0000,200.0823,6.3736
0.4700,200.0000,200.0815,6.3735
0.4710,200.0000,200.0808,6.3735
0.4720,200.0000,200.0800,6.3734
0.4730,200.0000,200.0793,6.3734
0.4740,200.0000,200.0785,6.3734
0.4750,200.0000,200.0777,6.3733
0.4760,200.0000,200.0770,6.3733
0.4770,200.0000,200.0762,6.3733
0.4780,200.0000,200.0754,6.3733
0.4790,200.0000,200.0747,6.3733
0.4800,200.0000,200.0739,6.3733
0.4810,200.0000,200.0732,6.3734
0.4820,200.0000,200.0724,6.3734
0.4830,200.0000,200.0716,6.3734
0.4840,200.0000,200.0709,6.3735
0.4850,200.0000,200.0701,6.3735
0.4860,200.0000,200.0693,6.3736
0.4870,200.0000,200.0686,6.3737
0.4880,200.0000,200.0678,6.3738
0.4890,200.0000,200.0670,6.3738
0.4900,200.0000,200.0663,6.3739
0.4910,200.0000,200.0662,6.3740
0.4920,200.0000,200.0654,6.3732
0.4930,200.0000,200.0647,6.3735
0.4940,200.0000,200.0639,6.3737
0.4950,200.0000,200.0632,6.3738
0.4960,200.0000,200.0629,6.3739
0.4970,200.0000,200.0622,6.3733
0.4980,200.0000,200.0614,6.3736
0.4990,200.0000,200.0607,6.3738
