t,setpoint,omega,u
0.1930,200.0000,192.2649,5.5294
0.1940,200.0000,192.6612,8.0128
0.1950,200.0000,193.7812,8.4031
0.1960,200.0000,193.9580,5.0667
0.1970,200.0000,194.2321,7.5509
0.1980,200.0000,193.8585,4.1988
0.1990,200.0000,192.7817,4.0917
0.2000,200.0000,192.8500,7.8881
0.2010,200.0000,193.1862,6.2070
0.2020,200.0000,193.6216,7.3286
0.2030,200.0000,193.5699,5.2114
0.2040,200.0000,193.2314,5.6668
0.2050,200.0000,193.4184,7.1296
0.2060,200.0000,194.3396,8.3909
0.2070,200.0000,194.0727,3.8197
0.2080,200.0000,193.0311,4.3722
0.2090,200.0000,193.1981,8.0377
0.2100,200.0000,194.1790,8.0807
0.2110,200.0000,194.0873,4.4929
0.2120,200.0000,193.8136,6.2943
0.2130,200.0000,193.6137,5.6073
0.2140,200.0000,194.0794,7.9798
0.2150,200.0000,193.7357,3.9749
0.2160,200.0000,193.8629,7.8861
0.2170,200.0000,194.7222,7.8382
0.2180,200.0000,194.4596,4.1750
0.2190,200.0000,194.1064,6.3082
0.2200,200.0000,193.4679,4.3012
0.2210,200.0000,193.2191,6.6619
0.2220,200.0000,193.7918,7.7383
0.2230,200.0000,194.6539,7.7455
0.2240,200.0000,194.4046,4.2612
0.2250,200.0000,194.0015,6.1011
0.2260,200.0000,194.1245,6.7625
0.2270,200.0000,193.9015,5.1411
0.2280,200.0000,194.3517,8.2072
0.2290,200.0000,194.0495,3.9990
0.2300,200.0000,192.9696,4.1713
0.2310,200.0000,192.6273,6.5966
0.2320,200.0000,193.6363,9.1199
0.2330,200.0000,193.9435,5.1170
0.2340,200.0000,194.1801,7.3561
0.2350,200.0000,194.5952,6.7340
0.2360,200.0000,193.9710,3.8333
0.2370,200.0000,192.8594,4.2879
0.2380,200.0000,192.4073,6.2043
0.2390,200.0000,192.7357,7.2781
0.2400,200.0000,193.5180,7.7948
0.2410,200.0000,193.7933,5.8188
0.2420,200.0000,193.1294,4.2216
0.2430,200.0000,193.2578,7.8547
0.2440,200.0000,193.6815,6.4893
0.2450,200.0000,193.3451,4.7993
0.2460,200.0000,192.8726,5.5804
0.2470,200.0000,193.0263,7.1100
0.2480,200.0000,193.9597,8.4328
0.2490,200.0000,194.0900,4.9917
0.2500,200.0000,193.7835,5.8364
0.2510,200.0000,193.0369,4.1898
0.2520,200.0000,193.0610,7.5804
0.2530,200.0000,192.9422,5.0061
0.2540,200.0000,193.4197,8.2755
0.2550,200.0000,193.4354,4.8799
0.2560,200.0000,194.0456,8.7207
0.2570,200.0000,193.8159,3.8654
0.2580,200.0000,193.4602,6.4235
0.2590,200.0000,194.2171,8.4866
0.2600,200.0000,194.6724,6.0416
0.2610,200.0000,194.9437,6.9400
0.2620,200.0000,194.9648,5.7746
0.2630,200.0000,195.0477,6.6941
0.2640,200.0000,195.2692,6.6018
0.2650,200.0000,195.3459,6.1638
0.2660,200.0000,194.4984,3.6278
0.2670,200.0000,194.3328,7.4140
0.2680,200.0000,194.6429,6.5489
0.2690,200.0000,194.5921,5.7352
0.2700,200.0000,193.8015,4.0473
0.2710,200.0000,194.0388,8.3661
0.2720,200.0000,194.5700,6.5379
0.2730,200.0000,194.6784,6.1375
0.2740,200.0000,194.1678,4.6295
0.2750,200.0000,194.1491,7.1736
0.2760,200.0000,193.9018,4.9024
0.2770,200.0000,193.5501,5.8872
0.2780,200.0000,193.5221,6.3725
0.2790,200.0000,193.5648,6.1968
0.2800,200.0000,194.3809,8.6367
0.2810,200.0000,195.0032,6.4571
0.2820,200.0000,194.6711,4.8152
0.2830,200.0000,194.0767,5.2619
0.2840,200.0000,193.2840,4.4878
0.2850,200.0000,193.4367,7.8444
0.2860,200.0000,193.2646,4.6677
0.2870,200.0000,193.6596,8.2417
0.2880,200.0000,194.4478,7.3119
0.2890,200.0000,194.1437,4.3463
0.2900,200.0000,193.9828,6.8068
0.2910,200.0000,193.8710,5.5643
0.2920,200.0000,193.5040,5.4272
0.2930,200.0000,193.6782,7.2443
0.2940,200.0000,194.4798,7.9801
0.2950,200.0000,194.0825,3.6962
0.2960,200.0000,193.0994,4.6709
0.2970,200.0000,193.0077,7.0631
0.2980,200.0000,193.0548,5.8374
0.2990,200.0000,193.3898,7.3291
0.3000,200.0000,194.4063,8.5151
0.3010,200.0000,194.2999,4.2101
0.3020,200.0000,194.2477,7.1423
0.3030,200.0000,193.9041,4.6420
0.3040,200.0000,194.2488,8.2014
0.3050,200.0000,194.8235,6.7276
0.3060,200.0000,194.8032,5.6359
0.3070,200.0000,193.8730,3.6711
0.3080,200.0000,193.9599,8.1673
0.3090,200.0000,193.8642,4.7792
0.3100,200.0000,192.9843,4.2721
0.3110,200.0000,192.7439,6.7754
0.3120,200.0000,193.3659,7.8019
0.3130,200.0000,193.4206,5.1952
0.3140,200.0000,192.9821,5.3190
0.3150,200.0000,192.3831,4.9350
0.3160,200.0000,192.9114,8.6334
0.3170,200.0000,193.9523,7.7853
0.3180,200.0000,194.7191,7.2491
0.3190,200.0000,195.2602,6.9936
0.3200,200.0000,194.7802,4.1175
0.3210,200.0000,193.8541,4.6855
0.3220,200.0000,193.3457,5.7921
0.3230,200.0000,192.8810,5.1370
0.3240,200.0000,193.0450,7.3780
0.3250,200.0000,193.9760,8.2777
0.3260,200.0000,194.7535,7.0612
0.3270,200.0000,194.6130,5.0028
0.3280,200.0000,194.3732,6.1684
0.3290,200.0000,194.5120,6.7276
0.3300,200.0000,194.1077,4.6165
0.3310,200.0000,194.0281,6.9483
0.3320,200.0000,194.2867,6.5932
0.3330,200.0000,194.6258,6.9099
0.3340,200.0000,194.3890,4.9575
0.3350,200.0000,194.0459,5.9036
0.3360,200.0000,194.2289,7.0311
0.3370,200.0000,194.6660,7.0008
0.3380,200.0000,194.4214,4.8476
0.3390,200.0000,194.6006,7.5691
0.3400,200.0000,194.0921,3.8310
0.3410,200.0000,193.0367,4.4212
0.3420,200.0000,193.1848,7.9589
0.3430,200.0000,194.4530,9.0110
0.3440,200.0000,194.4752,4.2386
0.3450,200.0000,194.3997,7.0128
0.3460,200.0000,193.9382,4.3672
0.3470,200.0000,194.1918,8.1193
0.3480,200.0000,195.1277,7.9130
0.3490,200.0000,195.0989,4.8402
0.3500,200.0000,194.0477,3.7477
0.3510,200.0000,193.0774,4.9413
0.3520,200.0000,192.7683,6.2443
0.3530,200.0000,193.7504,9.2211
0.3540,200.0000,194.4722,6.3498
0.3550,200.0000,193.7939,3.7464
0.3560,200.0000,193.0291,5.4113
0.3570,200.0000,192.9142,6.5016
0.3580,200.0000,193.3565,7.3571
0.3590,200.0000,193.8789,6.9406
0.3600,200.0000,194.2610,6.7288
0.3610,200.0000,194.2013,5.5631
0.3620,200.0000,193.2714,3.6977
0.3630,200.0000,192.4837,5.4421
0.3640,200.0000,192.9416,8.2236
0.3650,200.0000,193.0480,5.1706
0.3660,200.0000,192.9895,6.4583
0.3670,200.0000,193.1880,6.6144
0.3680,200.0000,193.4814,6.7280
0.3690,200.0000,193.6174,6.1609
0.3700,200.0000,194.2963,8.2009
0.3710,200.0000,195.1492,7.4501
0.3720,200.0000,194.9496,4.6011
0.3730,200.0000,194.6511,6.2451
0.3740,200.0000,193.8948,3.9791
0.3750,200.0000,193.6501,6.9160
0.3760,200.0000,194.3144,7.9019
0.3770,200.0000,194.2290,4.7411
0.3780,200.0000,194.2833,7.1706
0.3790,200.0000,194.1274,5.1616
0.3800,200.0000,194.1933,7.0023
0.3810,200.0000,194.8777,7.8196
0.3820,200.0000,195.5695,7.1882
0.3830,200.0000,195.6644,5.7302
0.3840,200.0000,194.5435,3.0318
0.3850,200.0000,193.6309,5.5569
0.3860,200.0000,193.5942,6.7514
0.3870,200.0000,194.1754,7.6503
0.3880,200.0000,194.7129,6.8133
0.3890,200.0000,194.3016,4.3998
0.3900,200.0000,194.0068,6.4178
0.3910,200.0000,194.5797,7.9279
0.3920,200.0000,195.0420,6.4558
0.3930,200.0000,195.0980,6.0720
0.3940,200.0000,194.5075,4.4612
0.3950,200.0000,193.3551,3.8368
0.3960,200.0000,193.0243,6.8603
0.3970,200.0000,193.3371,6.8577
0.3980,200.0000,193.3164,5.5955
0.3990,200.0000,192.9036,5.2066
0.4000,200.0000,192.4018,5.2797
0.4010,200.0000,192.6268,7.4794
0.4020,200.0000,192.6392,5.3614
0.4030,200.0000,192.5910,6.4044
0.4040,200.0000,192.9871,7.2254
0.4050,200.0000,193.4081,6.7006
0.4060,200.0000,193.7836,6.8556
0.4070,200.0000,193.4045,4.4947
0.4080,200.0000,193.8028,8.4349
0.4090,200.0000,193.9377,5.2098
0.4100,200.0000,194.3189,7.8177
0.4110,200.0000,194.8107,6.6696
0.4120,200.0000,194.7774,5.6596
0.4130,200.0000,194.0870,4.3977
0.4140,200.0000,193.7780,6.4761
0.4150,200.0000,193.9467,6.6518
0.4160,200.0000,193.6987,5.0969
0.4170,200.0000,193.1016,5.0200
0.4180,200.0000,193.5068,8.2443
0.4190,200.0000,193.5653,5.0616
0.4200,200.0000,193.8501,7.6140
0.4210,200.0000,193.8404,5.2576
0.4220,200.0000,193.9643,7.0558
0.4230,200.0000,193.7140,4.8904
0.4240,200.0000,193.0006,4.7768
0.4250,200.0000,192.4517,5.4916
0.4260,200.0000,192.4314,6.6344
0.4270,200.0000,192.8152,7.0445
0.4280,200.0000,194.0092,9.1651
0.4290,200.0000,194.2554,4.8499
0.4300,200.0000,194.2841,6.9024
0.4310,200.0000,194.0203,4.9856
0.4320,200.0000,194.2298,7.5753
0.4330,200.0000,195.0568,7.8923
0.4340,200.0000,194.6194,3.6389
0.4350,200.0000,194.1903,6.4428
0.4360,200.0000,193.9563,5.5029
0.4370,200.0000,193.1341,4.1180
0.4380,200.0000,193.4758,8.6278
0.4390,200.0000,194.6108,8.1790
0.4400,200.0000,194.3978,4.0276
0.4410,200.0000,194.2944,7.1312
0.4420,200.0000,193.5948,3.5792
0.4430,200.0000,192.5291,4.5777
0.4440,200.0000,192.0491,5.9277
0.4450,200.0000,192.9679,9.2309
0.4460,200.0000,194.6142,9.1656
0.4470,200.0000,195.1243,5.5082
0.4480,200.0000,195.2757,6.8609
0.4490,200.0000,194.4345,3.2377
0.4500,200.0000,192.8783,3.3554
0.4510,200.0000,192.9795,8.5822
0.4520,200.0000,193.4075,6.1071
0.4530,200.0000,193.9905,7.8093
0.4540,200.0000,194.0799,5.3439
0.4550,200.0000,193.2540,4.0693
0.4560,200.0000,192.7695,6.1284
0.4570,200.0000,192.7144,6.1737
0.4580,200.0000,193.7065,9.1858
0.4590,200.0000,193.8784,4.6770
0.4600,200.0000,193.3220,5.2131
0.4610,200.0000,193.2059,6.5365
0.4620,200.0000,193.9787,8.3662
0.4630,200.0000,194.4040,5.9968
0.4640,200.0000,194.4057,6.1363
0.4650,200.0000,194.1738,5.5140
0.4660,200.0000,194.2624,6.9139
0.4670,200.0000,194.5866,6.7573
0.4680,200.0000,194.9113,6.7654
0.4690,200.0000,194.7914,5.4139
0.4700,200.0000,194.2835,5.1248
0.4710,200.0000,194.0619,6.2884
0.4720,200.0000,194.6251,7.9416
0.4730,200.0000,194.5772,4.8902
0.4740,200.0000,193.9337,4.9528
0.4750,200.0000,194.2354,8.0225
0.4760,200.0000,194.6397,6.3184
0.4770,200.0000,193.9003,3.7109
0.4780,200.0000,194.0179,8.1648
0.4790,200.0000,194.6437,6.9837
0.4800,200.0000,194.2682,4.3790
0.4810,200.0000,193.1112,3.7698
0.4820,200.0000,193.1478,8.0127
0.4830,200.0000,194.1302,8.1483
0.4840,200.0000,193.8329,3.8227
0.4850,200.0000,194.0505,8.2322
0.4860,200.0000,194.3413,5.8813
0.4870,200.0000,193.6163,4.0212
0.4880,200.0000,192.8772,5.3514
0.4890,200.0000,192.3852,5.3607
0.4900,200.0000,192.6255,7.4778
0.4910,200.0000,193.0652,6.6666
0.4920,200.0000,194.2032,9.1872
0.4930,200.0000,195.2881,7.4414
0.4940,200.0000,195.0909,4.5273
0.4950,200.0000,193.8290,3.3374
0.4960,200.0000,193.1887,6.2475
0.4970,200.0000,193.5296,7.4064
0.4980,200.0000,193.7947,6.1739
0.4990,200.0000,193.1898,4.2149
