t,setpoint,omega,u
0.2300,200.0000,193.0671,4.3292
0.2310,200.0000,192.7139,6.4456
0.2320,200.0000,193.5808,8.7740
0.2330,200.0000,193.8589,5.2684
0.2340,200.0000,194.1151,7.3420
0.2350,200.0000,194.5398,6.7603
0.2360,200.0000,194.0078,4.0950
0.2370,200.0000,192.9910,4.4023
0.2380,200.0000,192.5195,6.0517
0.2390,200.0000,192.7446,7.0571
0.2400,200.0000,193.4250,7.6431
0.2410,200.0000,193.7032,5.9457
0.2420,200.0000,193.1463,4.4758
0.2430,200.0000,193.2779,7.6854
0.2440,200.0000,193.6568,6.4433
0.2450,200.0000,193.3531,4.9411
0.2460,200.0000,192.9209,5.6147
0.2470,200.0000,193.0404,6.9729
0.2480,200.0000,193.8780,8.2271
0.2490,200.0000,194.0239,5.1846
0.2500,200.0000,193.7863,5.9341
0.2510,200.0000,193.1190,4.3531
0.2520,200.0000,193.1115,7.3680
0.2530,200.0000,192.9649,5.0506
0.2540,200.0000,193.3784,8.0674
0.2550,200.0000,193.4001,5.0343
0.2560,200.0000,193.9798,8.5396
0.2570,200.0000,193.8040,4.1374
0.2580,200.0000,193.4995,6.4113
0.2590,200.0000,194.1842,8.2533
0.2600,200.0000,194.6087,6.1004
0.2610,200.0000,194.8914,6.9526
0.2620,200.0000,194.9505,5.8771
0.2630,200.0000,195.0513,6.6778
0.2640,200.0000,195.2643,6.5778
0.2650,200.0000,195.3432,6.1864
0.2660,200.0000,194.5752,3.8582
0.2670,200.0000,194.3994,7.2304
0.2680,200.0000,194.6446,6.4565
0.2690,200.0000,194.5830,5.7776
0.2700,200.0000,193.8606,4.2376
0.2710,200.0000,194.0568,8.1131
0.2720,200.0000,194.5237,6.4945
0.2730,200.0000,194.6352,6.1939
0.2740,200.0000,194.1937,4.8076
0.2750,200.0000,194.1777,7.0593
0.2760,200.0000,193.9363,4.9821
0.2770,200.0000,193.5933,5.8699
0.2780,200.0000,193.5406,6.3046
0.2790,200.0000,193.5593,6.1704
0.2800,200.0000,194.3008,8.4317
0.2810,200.0000,194.9009,6.5258
0.2820,200.0000,194.6541,5.0439
0.2830,200.0000,194.1426,5.3574
0.2840,200.0000,193.3994,4.5585
0.2850,200.0000,193.4811,7.5744
0.2860,200.0000,193.2773,4.7463
0.2870,200.0000,193.6172,8.0440
0.2880,200.0000,194.3480,7.2621
0.2890,200.0000,194.1149,4.6088
0.2900,200.0000,194.0011,6.7798
0.2910,200.0000,193.9015,5.5984
0.2920,200.0000,193.5509,5.4561
0.2930,200.0000,193.6847,7.1004
0.2940,200.0000,194.4045,7.8233
0.2950,200.0000,194.0662,3.9908
0.2960,200.0000,193.1873,4.8070
0.2970,200.0000,193.0738,6.8857
0.2980,200.0000,193.0707,5.7914
0.2990,200.0000,193.3511,7.2072
0.3000,200.0000,194.2885,8.3578
0.3010,200.0000,194.2429,4.5071
0.3020,200.0000,194.2442,7.1192
0.3030,200.0000,193.9487,4.7803
0.3040,200.0000,194.2523,7.9838
0.3050,200.0000,194.7705,6.6883
0.3060,200.0000,194.7732,5.7470
0.3070,200.0000,193.9466,3.9182
0.3080,200.0000,194.0080,7.9180
0.3090,200.0000,193.8882,4.8524
0.3100,200.0000,193.0599,4.4015
0.3110,200.0000,192.8009,6.6319
0.3120,200.0000,193.3275,7.5970
0.3130,200.0000,193.3736,5.3153
0.3140,200.0000,192.9923,5.4307
0.3150,200.0000,192.4466,5.0160
0.3160,200.0000,192.9012,8.3452
0.3170,200.0000,193.8412,7.6603
0.3180,200.0000,194.5850,7.2810
0.3190,200.0000,195.1579,7.0763
0.3200,200.0000,194.7944,4.4124
0.3210,200.0000,193.9727,4.8005
0.3220,200.0000,193.4661,5.6997
0.3230,200.0000,192.9698,5.0954
0.3240,200.0000,193.0545,7.1746
0.3250,200.0000,193.8774,8.0880
0.3260,200.0000,194.6204,7.0961
0.3270,200.0000,194.5641,5.2490
0.3280,200.0000,194.3974,6.2239
0.3290,200.0000,194.5339,6.6629
0.3300,200.0000,194.1556,4.7334
0.3310,200.0000,194.0616,6.8333
0.3320,200.0000,194.2762,6.5277
0.3330,200.0000,194.5836,6.8646
0.3340,200.0000,194.3855,5.1114
0.3350,200.0000,194.0835,5.9306
0.3360,200.0000,194.2400,6.9211
0.3370,200.0000,194.6297,6.9259
0.3380,200.0000,194.4175,5.0048
0.3390,200.0000,194.5922,7.4570
0.3400,200.0000,194.1332,4.0446
0.3410,200.0000,193.1530,4.5191
0.3420,200.0000,193.2337,7.6751
0.3430,200.0000,194.3478,8.7208
0.3440,200.0000,194.3924,4.5204
0.3450,200.0000,194.3751,7.0263
0.3460,200.0000,193.9831,4.5488
0.3470,200.0000,194.2074,7.9056
0.3480,200.0000,195.0516,7.7599
0.3490,200.0000,195.0523,5.0463
0.3500,200.0000,194.1258,4.0045
0.3510,200.0000,193.2206,4.9564
0.3520,200.0000,192.8660,6.0779
0.3530,200.0000,193.6916,8.8541
0.3540,200.0000,194.3461,6.4010
0.3550,200.0000,193.7797,4.0825
0.3560,200.0000,193.1111,5.4793
0.3570,200.0000,192.9791,6.3781
0.3580,200.0000,193.3396,7.1829
0.3590,200.0000,193.8052,6.8920
0.3600,200.0000,194.1827,6.7601
0.3610,200.0000,194.1737,5.6997
0.3620,200.0000,193.3520,3.9341
0.3630,200.0000,192.6075,5.4075
0.3640,200.0000,192.9607,7.9103
0.3650,200.0000,193.0181,5.2322
0.3660,200.0000,192.9634,6.4549
0.3670,200.0000,193.1566,6.5968
0.3680,200.0000,193.4408,6.7101
0.3690,200.0000,193.5869,6.2034
0.3700,200.0000,194.2302,8.0632
0.3710,200.0000,195.0470,7.4245
0.3720,200.0000,194.9232,4.8568
0.3730,200.0000,194.6897,6.2751
0.3740,200.0000,193.9966,4.1326
0.3750,200.0000,193.7300,6.7456
0.3760,200.0000,194.2868,7.6770
0.3770,200.0000,194.1997,4.8991
0.3780,200.0000,194.2646,7.1169
0.3790,200.0000,194.1368,5.2717
0.3800,200.0000,194.1999,6.9233
0.3810,200.0000,194.8247,7.6812
0.3820,200.0000,195.4802,7.1730
0.3830,200.0000,195.6175,5.8784
0.3840,200.0000,194.6352,3.3576
0.3850,200.0000,193.7814,5.5104
0.3860,200.0000,193.6736,6.5428
0.3870,200.0000,194.1399,7.4427
0.3880,200.0000,194.6225,6.8010
0.3890,200.0000,194.2841,4.6476
0.3900,200.0000,194.0406,6.4114
0.3910,200.0000,194.5593,7.7464
0.3920,200.0000,194.9853,6.4635
0.3930,200.0000,195.0641,6.1489
0.3940,200.0000,194.5514,4.6480
0.3950,200.0000,193.4897,3.9850
0.3960,200.0000,193.1260,6.6499
0.3970,200.0000,193.3401,6.6867
0.3980,200.0000,193.2889,5.6342
0.3990,200.0000,192.9115,5.3047
0.4000,200.0000,192.4481,5.3305
0.4010,200.0000,192.6290,7.3036
0.4020,200.0000,192.6227,5.4169
0.4030,200.0000,192.5764,6.3869
0.4040,200.0000,192.9421,7.1405
0.4050,200.0000,193.3440,6.6980
0.4060,200.0000,193.7201,6.8631
0.4070,200.0000,193.4114,4.7031
0.4080,200.0000,193.7895,8.2325
0.4090,200.0000,193.9199,5.3127
0.4100,200.0000,194.2806,7.7002
0.4110,200.0000,194.7529,6.6796
0.4120,200.0000,194.7577,5.7756
0.4130,200.0000,194.1512,4.5760
0.4140,200.0000,193.8534,6.3840
0.4150,200.0000,193.9685,6.5362
0.4160,200.0000,193.7159,5.1679
0.4170,200.0000,193.1546,5.0942
0.4180,200.0000,193.4991,8.0064
0.4190,200.0000,193.5417,5.1650
0.4200,200.0000,193.8099,7.5127
0.4210,200.0000,193.8207,5.3796
0.4220,200.0000,193.9511,7.0007
0.4230,200.0000,193.7328,5.0155
0.4240,200.0000,193.0757,4.8700
0.4250,200.0000,192.5388,5.4595
0.4260,200.0000,192.4665,6.4915
0.4270,200.0000,192.7786,6.9242
0.4280,200.0000,193.8715,8.9469
0.4290,200.0000,194.1543,5.1136
0.4300,200.0000,194.2506,6.9479
0.4310,200.0000,194.0506,5.1278
0.4320,200.0000,194.2452,7.4289
0.4330,200.0000,194.9960,7.7440
0.4340,200.0000,194.6192,3.9324
0.4350,200.0000,194.2431,6.4226
0.4360,200.0000,194.0138,5.5098
0.4370,200.0000,193.2292,4.2306
0.4380,200.0000,193.4913,8.3127
0.4390,200.0000,194.5017,7.9993
0.4400,200.0000,194.3420,4.3322
0.4410,200.0000,194.2923,7.1076
0.4420,200.0000,193.6691,3.8045
0.4430,200.0000,192.6672,4.6247
0.4440,200.0000,192.1561,5.7884
0.4450,200.0000,192.9196,8.8476
0.4460,200.0000,194.4138,8.9660
0.4470,200.0000,194.9628,5.7861
0.4480,200.0000,195.2099,6.9807
0.4490,200.0000,194.5109,3.5672
0.4500,200.0000,193.0806,3.5110
0.4510,200.0000,193.0837,8.1569
0.4520,200.0000,193.3891,6.0049
0.4530,200.0000,193.8987,7.6876
0.4540,200.0000,194.0137,5.5127
0.4550,200.0000,193.3011,4.3124
0.4560,200.0000,192.8549,6.0718
0.4570,200.0000,192.7615,6.0758
0.4580,200.0000,193.6296,8.8762
0.4590,200.0000,193.8014,4.8890
0.4600,200.0000,193.3345,5.3693
0.4610,200.0000,193.2410,6.4863
0.4620,200.0000,193.9349,8.1441
0.4630,200.0000,194.3343,6.0666
0.4640,200.0000,194.3727,6.2183
0.4650,200.0000,194.1920,5.6100
0.4660,200.0000,194.2787,6.8369
0.4670,200.0000,194.5702,6.7002
0.4680,200.0000,194.8737,6.7436
0.4690,200.0000,194.7855,5.5291
0.4700,200.0000,194.3351,5.2260
0.4710,200.0000,194.1180,6.2272
0.4720,200.0000,194.6040,7.7389
0.4730,200.0000,194.5566,5.0312
0.4740,200.0000,193.9792,5.0781
0.4750,200.0000,194.2438,7.8172
0.4760,200.0000,194.6028,6.3055
0.4770,200.0000,193.9375,3.9609
0.4780,200.0000,194.0386,7.9519
0.4790,200.0000,194.5973,6.9002
0.4800,200.0000,194.2663,4.5850
0.4810,200.0000,193.2163,3.9687
0.4820,200.0000,193.2094,7.7348
0.4830,200.0000,194.0607,7.9169
0.4840,200.0000,193.7962,4.0970
0.4850,200.0000,194.0203,8.0892
0.4860,200.0000,194.3072,5.9426
0.4870,200.0000,193.6641,4.2388
0.4880,200.0000,192.9762,5.3610
0.4890,200.0000,192.4758,5.3134
0.4900,200.0000,192.6336,7.2584
0.4910,200.0000,193.0047,6.6079
0.4920,200.0000,194.0605,8.9914
0.4930,200.0000,195.1199,7.4945
0.4940,200.0000,195.0387,4.8563
0.4950,200.0000,193.9482,3.6361
0.4960,200.0000,193.3365,6.1118
0.4970,200.0000,193.5703,7.1469
0.4980,200.0000,193.7619,6.1335
0.4990,200.0000,193.2048,4.4112
